genre,zero_crossing_rate,spectral_centroid,mfcc,spectral_contrast,spectral_rolloff,spectral_bandwidth
blues,0.08321995464852608,1439.289445233006,1.0873766,21.838358924254813,2498.1541490006057,1288.0680232280877
blues,0.08820861678004535,1500.7517854339587,1.7428474,21.731446229859493,2668.4373107207753,1384.6816090755883
blues,0.07219954648526077,1094.0778977147345,2.516604,21.40933322515358,1607.339491217444,1106.1972373538476
blues,0.07020408163265306,1337.3328128766375,1.6777178,21.245756107830235,2088.8067837674134,1108.966593780912
blues,0.07089947089947089,1364.3867631126025,2.859887,21.66742969134756,2072.11235614779,1089.9322206258107
blues,0.09339380196523053,1290.7050685059419,2.2871246,20.359373639415402,2012.0124167171414,1231.8014037742419
blues,0.09056689342403629,1360.6298414076673,2.521221,19.991025800188304,2235.049969715324,1272.1736670079097
blues,0.07171579743008315,1429.8126048103115,1.7428964,21.884828610911907,2227.7044215626893,1151.7366377487863
blues,0.08851095993953137,1615.7662758700574,1.354566,21.54982564524557,2819.3549364021806,1388.4848237342756
blues,0.10269085411942555,1646.2291936224246,1.4356229,21.870706817196336,3410.337674136887,1662.7344455980356
blues,0.0400604686318972,595.3265512662176,0.10955923,18.98719536045757,1018.3600847970927,606.3320678748472
blues,0.07579743008314437,2333.1262635215758,-4.395539,26.03822523930211,3020.355844942459,901.9547355763629
blues,0.0836734693877551,2355.391078767638,-4.9204307,24.511221068796043,3290.13779527559,1146.5155444051122
blues,0.05472411186696901,1413.7260554651687,-4.7137656,18.04664059932956,2006.6701998788612,955.065294773501
blues,0.033182161753590324,822.7638262362224,-1.5961009,18.266057227721873,1459.7607510599637,776.3635311705247
blues,0.05514739229024943,1569.3130415379826,-2.0350533,21.47324875976885,2520.1907934585097,998.1337928875356
blues,0.06705971277399848,2006.5476450542767,-3.5377185,22.701078447824912,3001.65808600848,1045.1028862632973
blues,0.07136810279667423,1924.3206287392177,-4.3082085,26.20906544551812,2952.910357359176,1008.4851428057817
blues,0.054754346182917614,1080.5424727194038,-4.2996616,20.166018736505603,1633.3827983040583,983.7932035351257
blues,0.06787603930461074,1637.522462486096,-3.8783782,22.631924593873123,2295.817686250757,955.772908392827
blues,0.06686318972033257,2066.169054027613,-4.090638,23.14723208574829,2841.3915808600846,869.9131208443446
blues,0.05071806500377929,891.0467217717877,0.2809191,21.91266805127441,1474.4518473652333,839.7228324748802
blues,0.045306122448979594,706.6658663606675,-7.0060983,18.312779130423092,1187.9754694124774,740.2032793173239
blues,0.0382010582010582,842.5960138063683,-6.488061,21.52706925695337,1266.7731677771048,675.666280169033
blues,0.05256235827664399,815.3515237717696,-9.456113,18.20410589047758,1392.983040581466,802.2028333459014
blues,0.05730914588057445,910.0165148427452,-5.4275823,21.740258418757815,1384.9697153240463,751.4299420589274
blues,0.04660619803476947,762.4841894432285,-6.014902,19.589058240492797,1179.2943670502725,757.7850067310729
blues,0.04276643990929705,776.599330098532,-7.369955,19.90294358079401,1155.9221683827986,732.0451328348565
